Registro;Frecuencia;Memoria;Observaciones;Localidad;Banda;Fecha;Exportar;Comprobado;Mhz;Khz;S;R;CTCSS;DCS;Repetidor;Offset;SECRA;Modo
1;154.5700;2;N/A;N/A;2 m;24/07/2003;VERDADERO;FALSO;154;5700;4;4;;;FALSO;-----;NO;FM-N
2;163.5000;5;"Policia Local Linares Repetidor: 158.900 Secrafonia 3200 Hz";Linares;2 m;25/07/2003;VERDADERO;VERDADERO;163;5000;0;0;79.7;-----;VERDADERO;-4.600;Secrafonia;FM-N
3;173.2500;6;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;173;2500;0;0;;;FALSO;;No;FM
4;454.1750;0;N/A;N/A;70 cm;25/07/2003;VERDADERO;FALSO;454;1750;0;0;;;FALSO;;No;FM
5;168.0500;8;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;168;0500;0;0;;;FALSO;;No;FM
6;168.1200;9;Guardia Civil;Linares;2 m;25/07/2003;VERDADERO;FALSO;168;1200;0;0;;;FALSO;;No;FM
7;168.1500;10;Guardia Civil;Linares;2 m;25/07/2003;VERDADERO;FALSO;168;1500;0;0;;;FALSO;;No;FM
8;166.0800;11;Ambulancia (Cruz Roja);Linares;2 m;25/07/2003;VERDADERO;VERDADERO;166;0800;0;0;;;FALSO;;No;FM
9;153.1000;12;Ambulancias Privadas;Linares;2 m;25/07/2003;VERDADERO;VERDADERO;153;1000;0;0;;;FALSO;;No;FM
10;154.3000;13;Finca;Linares;2 m;25/07/2003;VERDADERO;VERDADERO;154;3000;0;0;;;FALSO;;No;FM
11;162.9000;14;N/A;Linares;2 m;25/07/2003;VERDADERO;FALSO;162;9000;0;0;;;FALSO;;No;FM
12;427.3250;15;Corte Inglés Linares;Linares;70 Cm;25/07/2003;VERDADERO;VERDADERO;427;3250;0;0;;;FALSO;;No;FM
13;164.1750;18;CPC;Córdoba;2 m;25/07/2003;VERDADERO;VERDADERO;164;1750;0;0;;;FALSO;;No;FM
14;173.3750;19;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;173;3750;0;0;;;FALSO;;No;FM
15;158.5000;20;Policia Local Desconocida;N/A;2 m;25/07/2003;VERDADERO;FALSO;158;5000;0;0;;;FALSO;;No;FM
16;150.5200;21;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;150;5200;0;0;;;FALSO;;No;FM
17;165.7750;22;Cruz Roja;N/A;2 m;25/07/2003;VERDADERO;FALSO;165;7750;0;0;;;FALSO;;No;FM
18;172.8250;23;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;172;8250;0;0;;;FALSO;;No;FM
19;151.1400;24;Camioneros;N/A;2 m;25/07/2003;VERDADERO;FALSO;151;1400;0;0;;;FALSO;;No;FM
20;463.5750;25;Bomberos Cordoba;Córdoba;70 Cm;25/07/2003;VERDADERO;VERDADERO;463;5750;0;0;;;FALSO;;No;FM
21;448.7250;0;N/A;N/A;70 Cm;25/07/2003;VERDADERO;FALSO;448;7250;0;0;;;FALSO;;No;FM
22;158.0750;27;Policia Local Baeza;Baeza;2 m;25/07/2003;VERDADERO;VERDADERO;158;0750;0;0;;;FALSO;;No;FM
23;152.4250;28;Desconocido;Linares;2 m;25/07/2003;VERDADERO;FALSO;152;4250;0;0;;;FALSO;;No;FM
24;150.0475;30;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;150;0475;0;0;;;FALSO;;No;FM
25;484.8750;0;N/A;N/A;70 Cm;25/07/2003;VERDADERO;FALSO;484;8750;0;0;;;FALSO;;No;FM
26;165.9250;32;Policia Local Desconocida;N/A;2 m;25/07/2003;VERDADERO;FALSO;165;9250;0;0;;;FALSO;;No;FM
27;162.5500;34;Policia Local Andujar (TRUNK);Andujar;2 m;25/07/2003;VERDADERO;VERDADERO;162;5500;10;5;-----;-----;VERDADERO;-4.600;DMR;FM
28;172.7200;35;Guardia Civil;N/A;2 m;25/07/2003;VERDADERO;FALSO;172;7200;0;0;;;FALSO;;No;FM
29;173.4750;36;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;173;4750;0;0;;;FALSO;;No;FM
30;152.0750;38;"Policia Local Martos";Martos;2 m;25/07/2003;VERDADERO;VERDADERO;152;0750;10;5;79.7;-----;VERDADERO;-4.600;NO;FM
31;155.8250;40;N/A;N/A;2 m;25/07/2003;VERDADERO;FALSO;155;8250;0;0;;;FALSO;;No;FM
32;163.0500;41;Posible Finca;N/A;2 m;25/07/2003;VERDADERO;FALSO;163;0500;0;0;;;FALSO;;No;FM
33;168.8000;42;Guardia Civil;Cabra;2 m;25/07/2003;VERDADERO;VERDADERO;168;8000;0;0;;;FALSO;;No;FM
34;460.4250;43;Radio Taxi Jaen (Canal Servicios);Jaén;70 Cm;25/07/2003;VERDADERO;VERDADERO;460;4250;0;0;;;FALSO;;No;FM
35;155.2250;44;Policia Local Desconocida;N/A;2 m;25/07/2003;VERDADERO;FALSO;155;2250;0;0;;;FALSO;;No;FM
